"Node","H1","H2","H3","H4","H5","H6"
"a1.Clim1",1,1,1,1,1,1
"a3.Clim2",0,0,0,0,0,0
"b1.Prey.yr",-0.62,-0.73,-0.69,-0.65,-0.72,-0.76
"b2.Prey.sub",-0.83,-0.86,-0.92,-0.32,-0.4,-0.74
"b3.Prey.Sep",0.32,0.31,-0.23,-0.03,-0.01,-0.29
"c1.Comp.altprey",0.12,0.39,0.55,-0.53,-0.43,0.15
"c2.Comp.jelly",-0.57,-0.61,-0.13,-0.33,-0.39,-0.13
"c3.Comp",-0.45,-0.24,-0.33,-0.41,-0.33,-0.19
"d1.Pred.sm",0.12,0.39,0.55,0.7,0.76,0.84
"d2.Pred.lg",0.17,-0.32,0.05,-0.28,-0.46,-0.54
"d3.Pred",-0.9,-0.76,-0.73,-0.28,-0.27,-0.24
"d4.Pred.adult",0.23,-0.28,-0.1,-0.47,-0.07,-0.38
"e1.Ch.cond.yr",-0.62,-0.92,-0.69,-0.65,-0.72,-0.89
"e2.Ch.cond.sub",-0.83,-0.96,-0.92,-0.32,-0.4,-0.91
"e3.Ch.cond.Sep",0.32,-0.61,-0.23,-0.03,-0.01,-0.7
"f1.Ch.juv.yr",0.11,-0.28,-0.03,-0.62,-0.55,-0.56
"f2.Ch.juv.sub",0.02,-0.26,-0.18,-0.41,-0.32,-0.46
"f3.Ch.juv.Sep",0.66,0.09,0.19,0.1,0.15,-0.27
"g1.SprCh.adult",-0.29,0.1,0,-0.06,-0.23,0.13
"g3.FallCh.adult",0.41,-0.23,-0.04,-0.28,-0.31,-0.6
"non.NCC.fall",0,0,0,0,0,0
"non.NCC.spr",0,0,0,0,0,0
