"Node","Press","Network","SpringPos","FallPos","SpringNeg","FallNeg","WorstScenario","WorstScenarioN"
"g1.SprCh.adult",1,"Base",0.22,0.08,-0.62,0.59,"neg",-0.62
"non.NCC.spr",1,"Base",0.24,0.03,-0.6,0.58,"neg",-0.6
"f1.Ch.juv.yr",1,"Base",-0.06,0.39,-0.45,0.35,"neg",-0.45
"d4.Pred.adult",1,"Base",-0.44,0.29,0.03,0.41,"pos",-0.44
"e1.Ch.cond.yr",1,"Base",-0.04,0.36,-0.44,0.35,"neg",-0.44
"d2.Pred.lg",1,"Base",-0.34,0.15,-0.18,0.49,"pos",-0.34
"d3.Pred",1,"Base",-0.32,0.42,-0.17,0.27,"pos",-0.32
"a1.Clim1",1,"Base",-0.3,0.42,-0.29,0.41,"neg",-0.29
"b1.Prey.yr",1,"Base",-0.29,0.42,-0.29,0.42,"neg",-0.29
"b2.Prey.sub",1,"Base",-0.28,0.41,-0.29,0.41,"neg",-0.29
"c1.Comp.altprey",1,"Base",-0.2,0.2,-0.28,0.49,"pos",-0.2
"c3.Comp",1,"Base",-0.18,0.09,-0.29,0.58,"pos",-0.18
"b3.Prey.Sep",1,"Base",-0.33,0.41,-0.12,0.27,"neg",-0.12
"a3.Clim2",1,"Base",-0.33,0.41,-0.09,0.24,"neg",-0.09
"c2.Comp.jelly",1,"Base",-0.09,0.32,-0.44,0.37,"pos",-0.09
"e2.Ch.cond.sub",1,"Base",-0.56,0.67,0.01,0.07,"neg",0.01
"g3.FallCh.adult",1,"Base",-0.48,0.6,0.02,0.05,"neg",0.02
"f3.Ch.juv.Sep",1,"Base",-0.47,0.56,0.03,0.06,"neg",0.03
"d1.Pred.sm",1,"Base",0.04,-0.1,-0.39,0.58,"pos",0.04
"f2.Ch.juv.sub",1,"Base",-0.52,0.62,0.04,0.04,"neg",0.04
"e3.Ch.cond.Sep",1,"Base",-0.49,0.6,0.07,0.02,"neg",0.07
"non.NCC.fall",1,"Base",-0.51,0.62,0.08,-0.02,"neg",0.08
"non.NCC.spr",1,"Mammals",0.49,0.28,-0.43,0.28,"neg",-0.43
"d4.Pred.adult",1,"Mammals",-0.41,-0.04,0.48,0.45,"pos",-0.41
"f1.Ch.juv.yr",1,"Mammals",0.46,0.44,-0.41,0.01,"neg",-0.41
"g1.SprCh.adult",1,"Mammals",0.47,0.29,-0.41,0.28,"neg",-0.41
"d2.Pred.lg",1,"Mammals",-0.35,-0.06,0.34,0.38,"pos",-0.35
"e1.Ch.cond.yr",1,"Mammals",0.57,0.54,-0.34,0.01,"neg",-0.34
"c3.Comp",1,"Mammals",-0.25,-0.12,0.43,0.53,"pos",-0.25
"d1.Pred.sm",1,"Mammals",-0.19,-0.26,0.31,0.53,"pos",-0.19
"c1.Comp.altprey",1,"Mammals",-0.13,0.02,0.31,0.43,"pos",-0.13
"d3.Pred",1,"Mammals",0.07,0.23,0.13,0.23,"pos",0.07
"b1.Prey.yr",1,"Mammals",0.11,0.29,0.11,0.26,"neg",0.11
"b2.Prey.sub",1,"Mammals",0.13,0.28,0.11,0.28,"neg",0.11
"e3.Ch.cond.Sep",1,"Mammals",0.1,0.45,0.11,-0.07,"neg",0.11
"f2.Ch.juv.sub",1,"Mammals",0.13,0.45,0.11,-0.01,"neg",0.11
"non.NCC.fall",1,"Mammals",0.12,0.45,0.11,-0.04,"neg",0.11
"a1.Clim1",1,"Mammals",0.12,0.29,0.12,0.28,"neg",0.12
"e2.Ch.cond.sub",1,"Mammals",0.12,0.54,0.12,0.01,"neg",0.12
"f3.Ch.juv.Sep",1,"Mammals",0.1,0.42,0.12,0.02,"neg",0.12
"g3.FallCh.adult",1,"Mammals",0.12,0.44,0.12,0.03,"neg",0.12
"b3.Prey.Sep",1,"Mammals",0.01,0.24,0.2,0.21,"neg",0.2
"a3.Clim2",1,"Mammals",0.02,0.25,0.22,0.2,"neg",0.22
"c2.Comp.jelly",1,"Mammals",0.37,0.31,-0.24,0.13,"pos",0.37
