"H","Model","Nmodels","PctAccept","SprCh","FallCh","Hdescription2","Hdescription"
"H1","Base",148734,67,-0.28532,0.41216,"H1: Prey","Prey"
"H2","Base",149947,67,0.10171,-0.23327,"H2: Condition","Condition"
"H3","Base",149136,67,0.00049,-0.04032,"H3: Competitors","Competitors"
"H4","Base",148809,67,-0.05862,-0.2765,"H4: JuvPredators","JuvPredators"
"H5","Base",149084,67,-0.23315,-0.3127,"H5: AllPredators","AllPredators"
"H6","Base",148767,67,0.12542,-0.59994,"H6: All","All"
"H1","Mammals",107494,93,0.11422,0.27724,"H1: Prey","Prey"
"H2","Mammals",107349,93,-0.32781,-0.44174,"H2: Condition","Condition"
"H3","Mammals",107302,93,-0.15598,-0.17834,"H3: Competitors","Competitors"
"H4","Mammals",107459,93,-0.58692,-0.50094,"H4: JuvPredators","JuvPredators"
"H5","Mammals",107332,93,-0.76492,-0.6086,"H5: AllPredators","AllPredators"
"H6","Mammals",107370,93,-0.84118,-0.8481,"H6: All","All"
"H1","Birds",142207,70,-0.31586,0.45496,"H1: Prey","Prey"
"H2","Birds",142639,70,0.04798,-0.15672,"H2: Condition","Condition"
"H3","Birds",142793,70,-0.11229,0.15738,"H3: Competitors","Competitors"
"H4","Birds",142258,70,-0.24124,0.0727,"H4: JuvPredators","JuvPredators"
"H5","Birds",142600,70,-0.41061,0.04463,"H5: AllPredators","AllPredators"
"H6","Birds",142575,70,-0.06531,-0.35738,"H6: All","All"
"H1","AltPrey",149697,67,-0.27882,0.50015,"H1: Prey","Prey"
"H2","AltPrey",150230,67,0.10398,-0.17724,"H2: Condition","Condition"
"H3","AltPrey",150113,67,-0.03237,0.04302,"H3: Competitors","Competitors"
"H4","AltPrey",150063,67,0.03276,-0.23685,"H4: JuvPredators","JuvPredators"
"H5","AltPrey",149993,67,-0.18205,-0.27768,"H5: AllPredators","AllPredators"
"H6","AltPrey",149376,67,0.15568,-0.59514,"H6: All","All"
"H1","FishPred1",147625,68,-0.40978,0.4926,"H1: Prey","Prey"
"H2","FishPred1",146948,68,0.04163,-0.17546,"H2: Condition","Condition"
"H3","FishPred1",147581,68,-0.06602,0.00104,"H3: Competitors","Competitors"
"H4","FishPred1",147688,68,-0.05208,-0.2491,"H4: JuvPredators","JuvPredators"
"H5","FishPred1",147317,68,-0.1937,-0.29696,"H5: AllPredators","AllPredators"
"H6","FishPred1",147457,68,0.15674,-0.5853,"H6: All","All"
"H1","FishPred2",149530,67,-0.46854,0.40526,"H1: Prey","Prey"
"H2","FishPred2",149492,67,-0.01244,-0.24206,"H2: Condition","Condition"
"H3","FishPred2",149659,67,-0.13288,-0.03857,"H3: Competitors","Competitors"
"H4","FishPred2",148986,67,-0.09767,-0.26958,"H4: JuvPredators","JuvPredators"
"H5","FishPred2",149416,67,-0.25752,-0.31312,"H5: AllPredators","AllPredators"
"H6","FishPred2",149191,67,0.10101,-0.59102,"H6: All","All"
